Contestant,Question,Label
Adam and Leslie Fried,Which of these elements’ names is also a slang word meaning “policeman”?,wh-subject
Adam and Leslie Fried,Louisville Slugger is best known as a maker of what type of baseball equipment?,in-situ
Adam and Leslie Fried,Each verse of “The Star-Spangled Banner” ends with what word?,in-situ
Adam and Leslie Fried,Which of these animals is a simian?,wh-subject
Adam and Leslie Fried,"On the TV series “Happy Days,” what kind of store does Howard Cunningham run?",ex-situ
Adam and Leslie Fried,The ridges that run across the neck of a guitar are called what?,in-situ
Adam and Leslie Fried,The name of what U.S. city means “yellow” in Spanish?,in-situ
Adam and Leslie Fried,What kitchen appliance was originally marketed in the 1940s under the name Radarange?,wh-subject
Adam and Leslie Fried,"In October 2001, the author of what Oprah’s Book Club novel was “uninvited” to appear on the show?",in-situ
Adam and Leslie Fried,Gummi bears were invented in the 1920s in what country?,in-situ
Adam Clark,"Saying he could relate to it himself, psychologist and author of 57 books Wayne Oates coined what term in 1968?",in-situ
Adam Clark,"As a precaution, President Nixon has a speech prepared called ""In Event of Moon Disaster"" to mourn the loss of what pair?",in-situ
Adam Clark,"Sounding like it was named after a woman, which of the following is a former supercontinent that is believed to have existed about 200 million years ago?",wh-subject
Adam Clark,"Fittingly adorned with a bat and a ""savage hound,"" the desk wher what author wrote ""Dracula"" was put on the auction block in 2012?",in-situ
Adam Clark,"According to the California Avocado Commission, Americans consumed approximately 87 million pounds of avocados last what?",in-situ
Adam Clark,"What fad toy was first sold in the U.S. as the ""Dammit"" doll, in honor of Thomas Dam, the Danish woodcutter who invented it?",wh-subject
Adam Clark,"The first African-American to be listed in the Forbes 400, John H. Johnson made a fortune after founding Jet and what other magazine?",in-situ
Adam Clark,"What capital city passed legislation asserting that its state's name should be ""pronounced in 3 syllables with the final 's' silent""?",wh-subject
Adam Clark,"By teaching them to associate the chemical trinitrotoluene with sugar, scientists in Croatia have been conditioning bees to detect what?",in-situ
Adam Clark,"A take-off of a classic television show, which of these is an actual fan site that includes music videos for ""Baby"" and ""One Time""?",wh-subject
Adam Clark,"Both extinct for millions of years, the Tyrannosaurus rex was a fierce dinosaur but the Tyrannasorus rex was closely related to a what?",in-situ
Adam Clark,"""Bye"" is the last line of which of these classic films?",in-situ
Adam Clark,"It's believed that the cook Mary Mallon, better known as ""Typhoid Mary,"" infected others through which of her popular dishes?",in-situ
Adam Cohn,Which of these foods is usually peeled before eating?,wh-subject
Adam Cohn,Which of these animals has thick layers of fat called blubber?,wh-subject
Adam Cohn,A bellhop would most likely help a person do which of the following?,in-situ
Adam Cohn,What adjective is commonly used to describe a college dorm that houses both men and women?,wh-subject
Adam Cohn,What is the common term for the principles and policies adopted by a political party?,wh-subject
Adam Cohn,"TV character Stuart Smalley’s catchphrase is “I’m good enough, I’m smart enough and doggone it,” what?",in-situ
Adam Cohn,A hutch is a piece of furniture traditionally used to store what?,in-situ
Adam Cohn,The 2001 movie “Training Day” follows Ethan Hawke’s character during his training as a what?,in-situ
Adam Cohn,What kind of oven has a fan that circulates hot air to uniformly cook food?,wh-subject
Adam Cohn,The Bhagavad Gita is an important text of what religion?,in-situ
Adam Cohn,"The Sand Hills, the largest sand dune region in the Western Hemisphere, are in what U.S. state?",in-situ
Adam Colvin,"Sarah Palin’s husband is a four-time winner of the Iron Dog, which at nearly 2000 miles is the world’s longest what?",in-situ
Adam Colvin,"Opened in 2004, “The Gherkin” is a distinctively shaped skyscraper in what world city?",in-situ
Adam Colvin,"Named for their enthusiastic movements, “headbangers” are fans of what musical genre?",in-situ
Adam Colvin,"Named for scientist Nikola Tesla, Tesla Motors produces cars that fittingly run on what kind of energy source?",in-situ
Adam Colvin,What foreign film director should have directed “Iron Man 2” because his name features the chemical symbol for iron twice?,wh-subject
Adam Colvin,"A brand of ale, Polygamy Porter has fun with its name by using what slogan?",in-situ
Adam Colvin,"A book about fashion and gay culture, “Don We Now Our Gay Apparel” takes its title from a lyric to what Christmas carol?",in-situ
Adam Colvin,"In 2009, Brad Pitt and Angelina Jolie designed a high-end line of jewelry called The Protector, inspired by what animal?",in-situ
Adam Edgell,Crutches are useful for someone who has injured what part of his body?,in-situ
Adam Edgell,What is the main function of a refrigerator?,wh-subject
Adam Edgell,FBI surveillance sometimes involves doing what to a suspect's phone line?,in-situ
Adam Edgell,The wood of an ebony tree is what color?,in-situ
Adam Edgell,What U.S. state's civil law is based on a French legal system known as the Napoleonic Code?,wh-subject
Adam Edgell,"In his 1956 hit song, Chuck Berry sings ""Roll over Beethoven, and tell"" what composer ""the news""?",in-situ
Adam Edgell,"In Norway, what are the narrow sea inlets enclosed by high cliffs called?",ex-situ
Adam Edgell,"What group carried out the protest known as the ""Boston Tea Party""?",wh-subject
Adam Edgell,"In the 2001 Britney Spears commercial for Pepsi, what political figure makes an appearance?",wh-subject
Adam Edgell,A person who makes barrels is called what?,in-situ
Adam Edgell,The device known as a Foucault pendulum is used to demonstrate what natural occurrence?,in-situ
Adam Edgell,Famous Sugar Loaf Mountain rises over the bay of which of these cities?,in-situ
Adam Edgell,"What movie is based on the 1968 science fiction novel ""Do Androids Dream of Electric Sheep?""?",wh-subject
Adam Edgell,"Who wrote Spiro Agnew's 1970 speech in which he called the press ""nattering nabobs of negativism""?",wh-subject
Adam Engst,"Teen girls approved when they were told that Justin Bieber pimped his Bentley with tires made from baby seals in a ""Jimmy Kimmel Live!"" segment called what?",in-situ
Adam Engst,"What famous literary heroine has a ""seventeen-inch waist, the smallest in three counties""?",wh-subject
Adam Engst,What art lover once removed The Mona Lisa from The Louvre so that he could hang it in his own bedroom?,wh-subject
Adam Engst,"What term did writer Chuck Klosterman define as ""something I pretend to like ironically but in truth I really just like""?",ex-situ
Adam Engst,"While the highest-grossing opening day for a film was $91 million, what video game made $800 million on the day of its release?",wh-subject
Adam Engst,"With stories involving a nun who had to hand over a smuggled sausage, what star's first job was as a language interpreter for customs at a Miami airport?",wh-subject
Adam Engst,The position of the larynx prevents all humans from doing what at the same time?,in-situ
Adam Engst,"While all of these words could be used now to describe George Clooney, which term originally meant ""easy to manipulate""?",wh-subject
Adam Fine,Which of the following is considered a carbonated beverage?,wh-subject
Adam Fine,Which of the following animals has a shell?,wh-subject
Adam Fine,"If you are a brunette, which of the following best describes your hair color?",wh-subject
Adam Fine,"Among the teenage years, what year is referred to as ""sweet""?",wh-subject
Adam Fine,Which of the following movie stars owns a food company that has donated more than $90 million to charity?,wh-subject
Adam Fine,"In the ballad ""Casey at the Bat"", what happens to the baseball hero?",wh-subject
Adam Fine,Where will the Summer Olympic Games be held in the year 2000?,ex-situ
Adam Fine,"In her song, what kind of car does singer Janis Joplin ask the Lord to buy her?",ex-situ
Adam Fine,"In the '70s, what New York community's residents discovered their long-term exposure to toxic waste?",wh-subject
Adam Fine,"Which of the following actresses did not play Rizzo in the Broadway musical ""Grease""?",wh-subject
Adam Kaster,"Making life harder for magicians, in Norway it was once a jailable offense for anyone other than psychiatrists and other doctors to do what?",in-situ
Adam Kaster,"Showing people how to use a signature menu item in lasagna, grilled cheese sandwiches and more, in 2015 the Olive Garden launched what website?",in-situ
Adam Kaster,"An iconic piece of pop culture, for years what clothing item worn by Fonzie on “Happy Days” was displayed at the Nat’l Museum of American History?",wh-subject
Adam Kaster,"Briefly part of the group which includes his brother Donnie, who joined The New Kids on the Block on stage at a 2015 concert at Madison Square Garden?",wh-subject
Adam Kaster,"As it’s believed to both relax one’s fingers and slow one’s heart rate, alcohol is considered an illegal performance-enhancing drug in which NCAA sport?",in-situ
Adam Kaster,"Because it was thought it would cripple the enemy if destroyed, the U.S. spent much of what war searching for a vital headquarters known as the “Bamboo Pentagon”?",in-situ
Adam Kaster,"According to the American Psychological Association, the difference between what two concepts is that one is biological and the other is cultural?",in-situ
Adam Kaster,"Fitting for a nation of immigrants, what capital city of Australia was designed by architect Walter Burley Griffin, who hailed all the way from Chicago?",wh-subject
Adam Kaster,"As it has little effect on most newer cars, Edmunds.com recommends that you “save money and stop buying” what?",in-situ
Adam Kaufman,"What event traditionally features someone wearing something old, something new, something borrowed, and something blue?",wh-subject
Adam Kaufman,"Because they are onion-flavored, which of these snack foods are intentionally shaped like onion rings?",wh-subject
Adam Kaufman,"By definition, the speed at which music is performed is known as what?",in-situ
Adam Kaufman,"In politics, “hawks” and “doves” strongly disagree over the government’s policies on what?",in-situ
Adam Kaufman,"Episodes of what TV series typically end with the title character offering the signature parting, “X-O-X-O”?",in-situ
Adam Kaufman,A villainous group called the Decepticons are featured in what popular movie franchise?,in-situ
Adam Kaufman,What U.S. newspaper once marketed itself as “the daily diary of the American dream”?,wh-subject
Adam Kaufman,Which romance language is often referred to as “Castellano” by native speakers?,wh-subject
Adam Kaufman,"Since 1950, the College World Series has been played annually in what Midwestern city?",in-situ
Adam Kaufman,"According to the popular 1979 book “The Hitchhiker’s Guide to the Galaxy”, what number is the “answer to life, the universe, and everything”?",wh-subject
Adam Malanga,"When two friends ""high-five,"" they slap what parts of their body together?",in-situ
Adam Malanga,"A favorite gathering place is said to be what kind of ""ground""?",in-situ
Adam Malanga,What piece of equipment is most likely to have a carriage return?,wh-subject
Adam Malanga,Where would a person go to put something into hock?,ex-situ
Adam Malanga,A rooflike covering that extends beyond the outer walls of a building is called a what?,in-situ
Adam Malanga,"What novel's title has come to mean ""an illogical, no-win situation""?",wh-subject
Adam Malanga,Which of these foods is usually classified as a starch?,wh-subject
Adam Malanga,The famous Royal & Ancient Golf Club of St. Andrews is located where in the United Kingdom?,in-situ
Adam Malanga,"What TV series features Mr. Belding, principal of Bayside High?",wh-subject
Adam Malanga,The Chemical Brothers are recording artists best known for what style of music?,in-situ
Adam Malanga,"In nature, a scarlet pimpernel is a type of what?",in-situ
Adam Marchese,"Because it’s usually performed barefoot, which of these fitness activities generally requires the use of a mat?",wh-subject
Adam Marchese,"In 1916, Nathan Handwerker opened a food stand in Coney Island New York that primarily sold what?",in-situ
Adam Marchese,"Quite appropriately, Run-D.M.C. hosted the first episode of the groundbreaking TV show “Yo! MTV” what?",in-situ
Adam Marchese,"At the first modern Olympics in 1896, first place winners weren’t given a gold medal, but instead were given a silver medal and a what?",in-situ
Adam Marchese,"Teaching kids about investing, an animated web series called “Secret Millionaires Club” stars whom?",in-situ
Adam Marchese,John Cusack stars as which of the following authors in the 2012 film “The Raven”?,in-situ
Adam Marchese,"In addition to being a type of circus performer, which of the following is a type of fish?",wh-subject
Adam Marchese,"What military commander believed in reincarnation, and reportedly had visions that he fought alongside Carthaginian general Hannibal?",wh-subject
Adam Pinson,"As suggested by its name, which of the following is commonly sold at a farmers' market?",wh-subject
Adam Pinson,Which of these animals does not have thighs?,wh-subject
Adam Pinson,"Emily Post advises, ""Don't hog the weight machines"" in an article titled ""Manners Do's and Don'ts at the"" what?",in-situ
Adam Pinson,"By definition, which of these surgeries is performed on the heart?",wh-subject
Adam Pinson,"""Does Al only do parodies of other songs?"" is a question answered on the official Web site of what notable American?",in-situ
Adam Pinson,Which of these flowers has a common yoga pose named after it?,wh-subject
Adam Pinson,"When repeated three times, which of these words does not become the title of a Top 40 pop song?",wh-subject
Adam Pinson,"In the 2008 comedy ""Get Smart,"" special agent Maxwell Smart battles what sinister-sounding organization?",in-situ
Adam Pinson,"In 2008, teen queen Miley Cyrus caused a minor scandal when she posed for racy photographs in what magazine?",in-situ
Adam Pinson,"Primarily known only by his first name, the famous Dutch artist Rembrandt had what last name?",in-situ
Adam Pinson,"One of the largest estuaries in the world, South America's Rio de la Plata is located between what two countries?",in-situ
Adam Pinson,Which of these food items was not featured in the first-ever Swanson TV Dinner?,wh-subject
Adam Pinson,What video game character shares his name with a much-studied human gene that affects finger and toe placement?,wh-subject
Adam Shuler,"Considered one of the world’s most brilliant minds, Stephen Hawking once famously said that “people who boast about their” what “are losers”?",in-situ
Adam Shuler,Which of these films has a memorable scene in which people get drunk from consuming too much ouzo at the Portokalos’ house?,wh-subject
Adam Shuler,"Each day at all the Disney parks around the world, what 50-year-old ride’s theme song is played on average 1,200 times?",wh-subject
Adam Shuler,"Assuming Social Security’s around in 2054, who will be the first among these young stars to qualify for benefits?",wh-subject
Adam Shuler,"Sounding like a caffeinated superhero, which of the following is actually the nickname given to a famous prehistoric human fossil discovered in the 1890s?",wh-subject
Adam Shuler,Which of the four currently most populous U.S. cities was the first to elect an African-American mayor?,wh-subject
Adam Staple,Someone who lies down in the snow and moves his arms and legs in a sweeping motion is making what?,in-situ
Adam Staple,"By definition, a posh hotel or restaurant has what quality?",in-situ
Adam Staple,At which of these ages might a person typically have a midlife crisis?,ex-situ
Adam Staple,"On dress shirts, button-down, spread and tab are popular types of what?",in-situ
Adam Staple,What cereal brand’s jingle once bragged about an “unsinkable taste”?,wh-subject
Adam Staple,"Minted from 1913 to 1938, what was the value of the U.S. coin with a buffalo on the back?",wh-subject
Adam Staple,"In Madonna’s 1990 hit song “Vogue,” she tells her listeners to “strike a” what?",in-situ
Adam Staple,What organization’s logo features an outstretched hand holding a person underneath a rainbow?,wh-subject
Adam Staple,"In the children’s story “Puss in Boots,” which of these items of clothing does the cat not request?",ex-situ
Adam Steiner,Which of the following would normally be kept on a spool?,wh-subject
Adam Steiner,"A person who is mentally alert is said to be ""quick on the"" what?",in-situ
Adam Steiner,A large beanbag is most often sold as what piece of furniture?,in-situ
Adam Steiner,"In what children's game does a player call out, ""Ready or not, here I come""?",ex-situ
Adam Steiner,"Suburbs are also known as what kind of ""communities""?",in-situ
Adam Steiner,A footlocker most closely resembles which of these pieces of luggage?,in-situ
Adam Steiner,Snapping and box are types of what animal?,in-situ
Adam Steiner,"By definition, a headbanger is a fan of what genre of music?",in-situ
Adam Steiner,How many external boosters does the U.S. space shuttle use to propel it into orbit?,ex-situ
Adam Steiner,What is the easternmost U.S. state capital?,wh-subject
Adam Steiner,"In U.S. professional auto racing, what color flag traditionally is waved to signal that there is one lap to go?",wh-subject
Adam West,A magnet would most likely attract which of the following?,in-situ
Adam West,"According to a famous proverb, ""He who hesitates is""  what?",in-situ
Adam West,New companies that primarily do business over the Internet are known as what?,in-situ
Adam West,What is the name of the fruit-flavored ice traditionally served between courses of a meal?,wh-subject
Adam West,"On ""The Ed Sullivan Show"" in the 1960s, who was Topo Gigio?",wh-subject
Adam West,"By definition, a person's ""progeny"" is his what?",in-situ
Adam West,What U.S. city is home to the famous historic  neighborhood called the French Quarter?,wh-subject
Adam West,What 1970s TV host was known for wearing purple socks?,wh-subject
Adam West,The appearance of dew in the morning is the result of what natural process?,in-situ
Adam West,"From 1968 to 1991, Ben Bradlee was the executive editor of what major U.S. newspaper?",in-situ
Adam West,"In the 1910 novel ""Howards End,"" what does the title refer to?",ex-situ
Adam West,What is the name of the indentation right above your lip and below your nose?,wh-subject
Adam West,"Before serving as governor of Texas, Sam Houston was governor of what other U.S. state?",in-situ
Adrian Beckley,"""Goo-goo,"" ""ba-ba"" and ""da-da"" are three examples of the kind of ""talk"" called what?",in-situ
Adrian Beckley,"Which of these ""colorful"" phrases once appeared in a print for Clorox regular bleach?",wh-subject
Adrian Beckley,"What former U.S. president was often referred to as ""Tricky Dick""?",wh-subject
Adrian Beckley,"An extinct relative of the elephant, the hair-covered Siberian mammoth is better known as the what?",in-situ
Adrian Beckley,Silicon is often the chief component of which of these items?,in-situ
Adrian Beckley,"Since 1935, Washington, D.C. has held a popular spring festival to celebrate the blossoming of what trees?",in-situ
Adrian Beckley,"Derived from Latin roots meaning ""removal of meat"", what word commonly refers to the period preceding Lent?",wh-subject
Adrian Beckley,"Mary J. Blige's double-platinum album ""The Breakthrough"" features the song ""One"", originally a hit for what band?",in-situ
Adrian Beckley,The Bundestag and the Bundesrat are the two houses of parliament in what European nation?,in-situ
Adrian Beckley,"In 2007, LA Weekly's Jonathan Gold became the first newspaper critic to win the Pulitzer Prize for writing about what?",in-situ
Adrian Beckley,What is the minimum altitude to which a U.S. Air Force pilot must fly in order to be awarded astronaut wings?,wh-subject
Adrian Beckley,"Celebrating sixty years on the throne in 2006, Bhumibol Adulyedej is the reigning monarch of what country?",in-situ
Adrianne Gibilisco,"Occurring all too frequently in recent months, foreclosure is a legal proceeding resulting from the failure to pay what?",in-situ
Adrianne Gibilisco,"In real estate listings, a home that contains a “WBFP” has a “wood-burning” what?",in-situ
Adrianne Gibilisco,The popular children’s story “The Runaway Bunny” appropriately ends with the mother bunny saying what?,in-situ
Adrianne Gibilisco,"Built in 1884, the Lone Star Brewery building is now home to a major art museum in what U.S. city?",in-situ
Adrianne Gibilisco,"Which of these pastimes does the Surgeon General consider a “sedentary activity,” and thus less healthy for kids?",ex-situ
Adrianne Gibilisco,The slogan “La Cerveza Mas Fina” appears on bottles of what brand of imported beer?,in-situ
Adrianne Gibilisco,"In 2009, a skeleton fossil dubbed “the missing link” was unveiled to the public during the bicentenary of what scientist’s birth?",in-situ
Adrianne Gibilisco,"On “Cold Case,” I play Detective Lilly Rush, a homicide investigator on what U.S. city’s police force?",in-situ
Adrianne Gibilisco,"Because its members are all related to a man named Leon, a chart-topping rock band formed in 2000 gave itself what name?",in-situ
Adrianne Gibilisco,The 2003 headline “Iconic Rock Face Succumbs to Age and Gravity” ran after the collapse of a landmark in what U.S. state?,in-situ
Adrianne Gibilisco,"In 1939, what automobile manufacturer was the first to feature a fully automatic transmission, then dubbed “Hydra-Matic Drive”?",wh-subject
Adrianne Gibilisco,Where would you find the “crypts of Lieberkühn”?,ex-situ
Afua Brown,"What annual sporting event traditionally begins with the instruction ""Gentlemen, start your engines!""?",wh-subject
Afua Brown,Many doctors advise gargling with salt water to relieve which of these ailments?,in-situ
Afua Brown,"""Smart as a whip"" means roughly the same thing as which of these other idioms?",in-situ
Afua Brown,"Appropriately, which of these major U.S. cities is home to a coffee shop called ""Capitol Grounds""?",wh-subject
Afua Brown,What type of professionals graduate from France's prestigious Ecole Supérieure Nationale des Arts de la Marionette?,wh-subject
Afua Brown,"LVB, the stock ticker symbol of Steinway Musical Instruments, honors what classical composer?",in-situ
Afua Brown,"Inspired by the Scottish fiag, the hero of the movie ""Braveheart"" wears what color war paint?",in-situ
Afua Brown,"Mentioned in the children's song ""The Farmer in the Dell,"" a dell is, by definition, a what?",in-situ
Afua Brown,"Facing impeachment charges, what world leader resigned as president of Pakistan in August of 2008?",wh-subject
Afua Brown,"Facing impeachment charges, what world leader resigned as president of Pakistan in August of 2008?",wh-subject
Afua Brown,"Sir Nils Olav, a “soldier” in Norway’s elite King’s Guard, was knighted in 2008 despite what unusual fact about him?",in-situ
Afua Brown,Which of the following has never been the title of a novel by John Grisham?,wh-subject
Ajay Reddy,"A popular holiday song features the line ""We wish you a merry Christmas and a happy"" what?",in-situ
Ajay Reddy,"A person who sets higher standards is said to be ""raising the"" what?",in-situ
Ajay Reddy,"In the movie ""The Wizard of Oz"" what name is given to the ""little people"" who befriended Dorothy?",wh-subject
Ajay Reddy,"According to legend, what bird sings a beautiful song just before dying?",wh-subject
Ajay Reddy,"The letter ""K"" is often used to symbolize what amount of money?",in-situ
Ajay Reddy,"More than 1,800 miles long, the Rio Grande river forms the southwestern border of what U.S. state?",in-situ
Ajay Reddy,What was the nickname of notorious gangster Al Capone?,wh-subject
Akiyomi Fields & Simone McMurry,"To entertain at their wedding reception, couples usually choose either a live band or a what?",in-situ
Akiyomi Fields & Simone McMurry,"True to their name, fruit bats are known to enjoy snacking on which of these foods?",in-situ
Akiyomi Fields & Simone McMurry,"In humans, the heart is about the same size as the what?",in-situ
Akiyomi Fields & Simone McMurry,"Which of these terms of endearment are repeated throughout the Motown classic ""I Can't Help Myself""?",wh-subject
Akiyomi Fields & Simone McMurry,"Because of its appearance, one of the waterfalls at Niagara Falls has what ""matrimonial"" name?",in-situ
Akiyomi Fields & Simone McMurry,Which of these TV series is named for the address at which it usually takes place?,wh-subject
Akiyomi Fields & Simone McMurry,The Turks and Caicos Islands are a British colony located where?,in-situ
Akiyomi Fields & Simone McMurry,"Both ""gam"" and ""pod"" are terms used to describe a group of what animals?",in-situ
Akiyomi Fields & Simone McMurry,"Julie Andrews is featured in seven movies by what acclaimed director, who also happens to be her husband?",in-situ
Al Schaeffer,"According to folklore, what animals should you count if you are having trouble falling asleep?",ex-situ
Al Schaeffer,"Which of the following, when added at the end of the word ""cheap"", describes a miserly person?",wh-subject
Al Schaeffer,On what piece of household furniture would one be most likely to find a duvet?,ex-situ
