,ITEM,CONDITION,EXTRACTION,WH_SITE,QUESTION,SENTENCE,LIST,TYPE
10,3,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these Gospels does the ending of partially overlap with the beginning of the book of Acts:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Gospel A</td><td style='text-align:center'>C. Gospel C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Gospel B</td><td style='text-align:center'>D. Gospel D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
11,3,NoExtr_whSubj,NoExtr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The ending of which of these Gospels partially overlaps with the beginning of the book of Acts:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Gospel A</td><td style='text-align:center'>C. Gospel C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Gospel B</td><td style='text-align:center'>D. Gospel D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
12,4,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these children's books does the wife of Robert De Niro frequently quarrel with the author of:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Book A</td><td style='text-align:center'>C. Book C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Book B</td><td style='text-align:center'>D. Book D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
13,4,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The wife of Robert De Niro frequently quarrels with the author of which of these children's books:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Book A</td><td style='text-align:center'>C. Book C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Book B</td><td style='text-align:center'>D. Book D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
14,4,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these children's books does the author of frequently quarrel with the wife of Robert De Niro:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Book A</td><td style='text-align:center'>C. Book C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Book B</td><td style='text-align:center'>D. Book D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
15,4,NoExtr_whSubj,NoExtr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The author of which of these children's books frequently quarrels with the wife of Robert De Niro:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Book A</td><td style='text-align:center'>C. Book C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Book B</td><td style='text-align:center'>D. Book D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
16,5,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these particles do the theories of Albert Einstein correctly align with the existence of:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Particle A</td><td style='text-align:center'>C. Particle C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Particle B</td><td style='text-align:center'>D. Particle D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
17,5,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The theories of Albert Einstein correctly align with the existence of which of these particles:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Particle A</td><td style='text-align:center'>C. Particle C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Particle B</td><td style='text-align:center'>D. Particle D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
18,5,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these particles does the existence of correctly align with the theories of Albert Einstein:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Particle A</td><td style='text-align:center'>C. Particle C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Particle B</td><td style='text-align:center'>D. Particle D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
19,5,NoExtr_whSubj,NoExtr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The existence of which of these particles correctly aligns with the theories of Albert Einstein:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Particle A</td><td style='text-align:center'>C. Particle C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Particle B</td><td style='text-align:center'>D. Particle D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
20,6,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these companies does the CEO of IBM usually bump heads with the chairman of:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Company A</td><td style='text-align:center'>C. Company C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Company B</td><td style='text-align:center'>D. Company D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
21,6,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The CEO of IBM usually bumps heads with the chairman of which of these companies:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Company A</td><td style='text-align:center'>C. Company C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Company B</td><td style='text-align:center'>D. Company D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
22,6,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these companies does the chairman of usually bump heads with the CEO of IBM:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Company A</td><td style='text-align:center'>C. Company C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Company B</td><td style='text-align:center'>D. Company D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
23,6,NoExtr_whSubj,NoExtr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The chairman of which of these companies usually bumps heads with the CEO of IBM:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Company A</td><td style='text-align:center'>C. Company C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Company B</td><td style='text-align:center'>D. Company D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
24,7,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these presidents did the testimony of Monica Lewinsky predictably coincide with the impeachment of:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. President A</td><td style='text-align:center'>C. President C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. President B</td><td style='text-align:center'>D. President D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
25,7,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The testimony of Monica Lewinsky predictably coincided with the impeachment of which of these presidents:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. President A</td><td style='text-align:center'>C. President C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. President B</td><td style='text-align:center'>D. President D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
26,7,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these presidents did the impeachment of predictably coincide with the testimony of Monica Lewinsky:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. President A</td><td style='text-align:center'>C. President C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. President B</td><td style='text-align:center'>D. President D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
27,7,NoExtr_whSubj,NoExtr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The impeachment of which of these presidents predictably coincided with the testimony of Monica Lewinsky:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. President A</td><td style='text-align:center'>C. President C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. President B</td><td style='text-align:center'>D. President D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
28,8,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these countries does the King of Spain closely resemble the prime minister of:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Country A</td><td style='text-align:center'>C. Country C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Country B</td><td style='text-align:center'>D. Country D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
29,8,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The King of Spain closely resembles the prime minister of which of these countries:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Country A</td><td style='text-align:center'>C. Country C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Country B</td><td style='text-align:center'>D. Country D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
30,8,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these countries does the prime minister of closely resemble the King of Spain:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Country A</td><td style='text-align:center'>C. Country C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Country B</td><td style='text-align:center'>D. Country D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
31,8,NoExtr_whSubj,NoExtr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The prime minister of which of these countries closely resembles the King of Spain:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Country A</td><td style='text-align:center'>C. Country C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Country B</td><td style='text-align:center'>D. Country D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
32,9,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these diseases does the treatment for malaria generally interact with the vaccine for:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Disease A</td><td style='text-align:center'>C. Disease C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Disease B</td><td style='text-align:center'>D. Disease D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
33,9,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The treatment for malaria generally interacts with the vaccine for which of these diseases:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Disease A</td><td style='text-align:center'>C. Disease C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Disease B</td><td style='text-align:center'>D. Disease D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
34,9,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these diseases does the vaccine for generally interact with the treatment for malaria:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Disease A</td><td style='text-align:center'>C. Disease C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Disease B</td><td style='text-align:center'>D. Disease D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
35,9,NoExtr_whSubj,NoExtr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The vaccine for which of these diseases generally interacts with the treatment for malaria:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Disease A</td><td style='text-align:center'>C. Disease C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Disease B</td><td style='text-align:center'>D. Disease D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
36,10,Extr_whObj,Extr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these presidential candidates does the description of the Zodiac Killer plainly match the facial features of:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Candidate A</td><td style='text-align:center'>C. Candidate C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Candidate B</td><td style='text-align:center'>D. Candidate D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
37,10,NoExtr_whObj,NoExtr,whObj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The description of the Zodiac Killer plainly matched the facial features of which of these presidential candidates:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Candidate A</td><td style='text-align:center'>C. Candidate C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Candidate B</td><td style='text-align:center'>D. Candidate D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
38,10,Extr_whSubj,Extr,whSubj,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these presidential candidates do the facial features of plainly match the description of the Zodiac Killer:</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Candidate A</td><td style='text-align:center'>C. Candidate C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Candidate B</td><td style='text-align:center'>D. Candidate D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
