,ITEM,CONDITION,EXTRACTION,NEGATIVITY,QUESTION,SENTENCE,LIST,TYPE
10,3,Extr_Pos,Extr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>How many countries does the Library of Congress contain a copy of the constitution of?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Number A</td><td style='text-align:center'>C. Number C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Number B</td><td style='text-align:center'>D. Number D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
11,3,NoExtr_Pos,NoExtr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The Library of Congress contains a copy of the constitution of how many countries?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Number A</td><td style='text-align:center'>C. Number C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Number B</td><td style='text-align:center'>D. Number D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
12,4,Extr_Neg,Extr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>According to a well-known anecdote, how expensive weren't a dozen eggs during the Great Depression?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Price A</td><td style='text-align:center'>C. Price C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Price B</td><td style='text-align:center'>D. Price D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",4,item
13,4,NoExtr_Neg,NoExtr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>According to a well-known anecdote, a dozen eggs weren't how expensive during the Great Depression?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Price A</td><td style='text-align:center'>C. Price C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Price B</td><td style='text-align:center'>D. Price D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",1,item
14,4,Extr_Pos,Extr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>According to a well-known anecdote, how expensive were a dozen eggs during the Great Depression?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Price A</td><td style='text-align:center'>C. Price C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Price B</td><td style='text-align:center'>D. Price D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",2,item
15,4,NoExtr_Pos,NoExtr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>According to a well-known anecdote, a dozen eggs were how expensive during the Great Depression?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Price A</td><td style='text-align:center'>C. Price C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Price B</td><td style='text-align:center'>D. Price D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",3,item
16,5,Extr_Neg,Extr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>A factoid popularized by the movie Jaws, how much don't great white sharks typically weigh?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Weight A</td><td style='text-align:center'>C. Weight C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Weight B</td><td style='text-align:center'>D. Weight D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",1,item
17,5,NoExtr_Neg,NoExtr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>A factoid popularized by the movie Jaws, great white sharks typically don't weigh how much?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Weight A</td><td style='text-align:center'>C. Weight C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Weight B</td><td style='text-align:center'>D. Weight D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",2,item
18,5,Extr_Pos,Extr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>A factoid popularized by the movie Jaws, how much do great white sharks typically weigh?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Weight A</td><td style='text-align:center'>C. Weight C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Weight B</td><td style='text-align:center'>D. Weight D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",3,item
19,5,NoExtr_Pos,NoExtr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>A factoid popularized by the movie Jaws, great white sharks typically weigh how much?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Weight A</td><td style='text-align:center'>C. Weight C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Weight B</td><td style='text-align:center'>D. Weight D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",4,item
20,6,Extr_Neg,Extr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>How often doesn't the Atlantic tropical storm season produce a category 5 hurricane on average?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Frequency A</td><td style='text-align:center'>C. Frequency C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Frequency B</td><td style='text-align:center'>D. Frequency D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,item
21,6,NoExtr_Neg,NoExtr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The Atlantic tropical storm season doesn't produce a category 5 hurricane how often on average?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Frequency A</td><td style='text-align:center'>C. Frequency C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Frequency B</td><td style='text-align:center'>D. Frequency D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,3,item
22,6,Extr_Pos,Extr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>How often does the Atlantic tropical storm season produce a category 5 hurricane on average?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Frequency A</td><td style='text-align:center'>C. Frequency C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Frequency B</td><td style='text-align:center'>D. Frequency D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,4,item
23,6,NoExtr_Pos,NoExtr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The Atlantic tropical storm season produces a category 5 hurricane how often on average?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Frequency A</td><td style='text-align:center'>C. Frequency C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Frequency B</td><td style='text-align:center'>D. Frequency D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,item
24,7,Extr_Neg,Extr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Unlike in the Northern Hemisphere, in what direction doesn't moss tend to grow on trees in South America?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Direction A</td><td style='text-align:center'>C. Direction C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Direction B</td><td style='text-align:center'>D. Direction D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",3,item
25,7,NoExtr_Neg,NoExtr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Unlike in the Northern Hemisphere, moss doesn't tend to grow on trees in what direction in South America?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Direction A</td><td style='text-align:center'>C. Direction C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Direction B</td><td style='text-align:center'>D. Direction D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",4,item
26,7,Extr_Pos,Extr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Unlike in the Northern Hemisphere, in what direction does moss tend to grow on trees in South America?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Direction A</td><td style='text-align:center'>C. Direction C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Direction B</td><td style='text-align:center'>D. Direction D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",1,item
27,7,NoExtr_Pos,NoExtr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Unlike in the Northern Hemisphere, moss tends to grow on trees in what direction in South America?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Direction A</td><td style='text-align:center'>C. Direction C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Direction B</td><td style='text-align:center'>D. Direction D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",2,item
28,8,Extr_Neg,Extr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Since they've become an endangered species, how long aren't sea turtles expected to live in the wild?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Duration A</td><td style='text-align:center'>C. Duration C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Duration B</td><td style='text-align:center'>D. Duration D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",4,item
29,8,NoExtr_Neg,NoExtr,Neg,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Since they've become an endangered species, sea turtles aren't expected to live how long in the wild?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Duration A</td><td style='text-align:center'>C. Duration C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Duration B</td><td style='text-align:center'>D. Duration D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",1,item
30,8,Extr_Pos,Extr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Since they've become an endangered species, how long are sea turtles expected to live in the wild?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Duration A</td><td style='text-align:center'>C. Duration C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Duration B</td><td style='text-align:center'>D. Duration D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",2,item
31,8,NoExtr_Pos,NoExtr,Pos,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?","<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Since they've become an endangered species, sea turtles are expected to live how long in the wild?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Duration A</td><td style='text-align:center'>C. Duration C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Duration B</td><td style='text-align:center'>D. Duration D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ",3,item
32,1001,filler_good,NA,NA,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The CEO of Apple opposed the new budget because of which of these unpopular fiscal policies?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Policy A</td><td style='text-align:center'>C. Policy C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Policy B</td><td style='text-align:center'>D. Policy D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,filler
33,1002,filler_good,NA,NA,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The seventh president of the US spent time in which of these states after serving in the military?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. State A</td><td style='text-align:center'>C. State C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. State B</td><td style='text-align:center'>D. State D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,filler
34,1003,filler_good,NA,NA,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these projects did Thomas Edison spend his final years working on before giving up?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Project A</td><td style='text-align:center'>C. Project C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Project B</td><td style='text-align:center'>D. Project D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,filler
35,1004,filler_good,NA,NA,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these laws do quiz contestants often admit to being ignorant of when they file their taxes?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Law A</td><td style='text-align:center'>C. Law C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Law B</td><td style='text-align:center'>D. Law D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,1,filler
36,1001,filler_good,NA,NA,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The CEO of Apple opposed the new budget because of which of these unpopular fiscal policies?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Policy A</td><td style='text-align:center'>C. Policy C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Policy B</td><td style='text-align:center'>D. Policy D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,filler
37,1002,filler_good,NA,NA,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>The seventh president of the US spent time in which of these states after serving in the military?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. State A</td><td style='text-align:center'>C. State C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. State B</td><td style='text-align:center'>D. State D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,filler
38,1003,filler_good,NA,NA,"Assuming that contestants could be expected to know the answer, how easy is it for you to imagine this as a <b>gameshow/quiz question</b>?",<table style='border: 1px solid black; border-collapse: collapse'><tr height = 20px></tr><tr><td width=20px></td><td colspan='2' style='text-align:center; vertical-align:middle'><b>Which of these projects did Thomas Edison spend his final years working on before giving up?</b></td><td width=20px></td></tr><tr height = 20px></tr><tr><td width=20px></td><td style='text-align:center'>A. Project A</td><td style='text-align:center'>C. Project C</td><td width=20px></td></tr><tr height = 10px></tr><tr><td width=20px></td><td style='text-align:center'>B. Project B</td><td style='text-align:center'>D. Project D</td><td width=20px></td></tr><tr height = 20px></tr></table>  ,2,filler
